genres,id,original_title,overview,popularity,poster_path,production_companies,release_date,tagline,title,vote_average,vote_count,genres_clean,companies_text,content
comedy romance,8874,my best friend's wedding,"when she receives word that her longtime platonic pal michael o'neal is getting married to debutante kimberly wallace, food critic julianne potter realizes her true feelings for michael -- and sets out to sabotage the wedding.",4.678572,/b5g4bp8gS5ovMyR5439AII6zQ3n.jpg,"[{'name': 'TriStar Pictures', 'id': 559}]",1997-06-19,it's about finding the love of your life. and deciding what to do about it.,my best friend's wedding,6.4,606.0,"['Comedy', 'Romance']",tristar pictures,"my best friend's wedding comedy romance when she receives word that her longtime platonic pal michael o'neal is getting married to debutante kimberly wallace, food critic julianne potter realizes her true feelings for michael -- and sets out to sabotage the wedding. it's about finding the love of your life. and deciding what to do about it. tristar pictures"
drama,266,le mépris,screenwriter paul javal's marriage to his wife camille disintegrates during a film production as she spends time with its producer.,7.543337,/1WhhlenrLjO2XR6foiPWy8v3kI.jpg,"[{'name': 'Rome Paris Films', 'id': 109}, {'name': 'Les Films Concordia', 'id': 1714}, {'name': 'Compagnia Cinematografica Champion', 'id': 10000}]",1963-10-21,"more bold! more brazen! and much, much more bardot!",contempt,7.5,138.0,['Drama'],rome paris films les films concordia compagnia cinematografica champion,"contempt drama screenwriter paul javal's marriage to his wife camille disintegrates during a film production as she spends time with its producer. more bold! more brazen! and much, much more bardot! rome paris films les films concordia compagnia cinematografica champion"
drama,4995,boogie nights,"set in 1977, back when sex was safe, pleasure was a business and business was booming, idealistic porn producer jack horner aspires to elevate his craft to an art form. horner discovers eddie adams, a hot young talent working as a busboy in a nightclub, and welcomes him into the extended family of movie-makers, misfits and hangers-on that are always around. adams' rise from nobody to a celebrity adult entertainer is meteoric, and soon the whole world seems to know his porn alter ego, ""dirk diggler"". now, when disco and drugs are in vogue, fashion is in flux and the party never seems to stop, adams' dreams of turning sex into stardom are about to collide with cold, hard reality.",7.595679,/wnE24UPCPQsQnbBOu4zVE2qaDNm.jpg,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Ghoulardi Film Company', 'id': 178}, {'name': 'Lawrence Gordon Productions', 'id': 840}]",1997-09-11,"the life of a dreamer, the days of a business, and the nights in between.",boogie nights,7.5,812.0,['Drama'],new line cinema ghoulardi film company lawrence gordon productions,"boogie nights drama set in 1977, back when sex was safe, pleasure was a business and business was booming, idealistic porn producer jack horner aspires to elevate his craft to an art form. horner discovers eddie adams, a hot young talent working as a busboy in a nightclub, and welcomes him into the extended family of movie-makers, misfits and hangers-on that are always around. adams' rise from nobody to a celebrity adult entertainer is meteoric, and soon the whole world seems to know his porn alter ego, ""dirk diggler"". now, when disco and drugs are in vogue, fashion is in flux and the party never seems to stop, adams' dreams of turning sex into stardom are about to collide with cold, hard reality. the life of a dreamer, the days of a business, and the nights in between. new line cinema ghoulardi film company lawrence gordon productions"
drama romance thriller,597,titanic,"84 years later, a 101-year-old woman named rose dewitt bukater tells the story to her granddaughter lizzy calvert, brock lovett, lewis bodine, bobby buell and anatoly mikailavich on the keldysh about her life set in april 10th 1912, on a ship called titanic when young rose boards the departing ship with the upper-class passengers and her mother, ruth dewitt bukater, and her fiancé, caledon hockley. meanwhile, a drifter and artist named jack dawson and his best friend fabrizio de rossi win third-class tickets to the ship in a game. and she explains the whole story from departure until the death of titanic on its first and last voyage april 15th, 1912 at 2:20 in the morning.",26.88907,/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Lightstorm Entertainment', 'id': 574}]",1997-11-18,nothing on earth could come between them.,titanic,7.5,7770.0,"['Thriller', 'Drama', 'Romance']",paramount pictures twentieth century fox film corporation lightstorm entertainment,"titanic drama romance thriller 84 years later, a 101-year-old woman named rose dewitt bukater tells the story to her granddaughter lizzy calvert, brock lovett, lewis bodine, bobby buell and anatoly mikailavich on the keldysh about her life set in april 10th 1912, on a ship called titanic when young rose boards the departing ship with the upper-class passengers and her mother, ruth dewitt bukater, and her fiancé, caledon hockley. meanwhile, a drifter and artist named jack dawson and his best friend fabrizio de rossi win third-class tickets to the ship in a game. and she explains the whole story from departure until the death of titanic on its first and last voyage april 15th, 1912 at 2:20 in the morning. nothing on earth could come between them. paramount pictures twentieth century fox film corporation lightstorm entertainment"
comedy drama,586,wag the dog,"during the final weeks of a presidential race, the president is accused of sexual misconduct. to distract the public until the election, the president's adviser hires a hollywood producer to help him stage a fake war.",7.603652,/rYoEQzMBlB40ZlwVoe6y5s8B58z.jpg,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Tribeca Productions', 'id': 11391}, {'name': 'Baltimore Pictures', 'id': 11407}]",1997-12-25,"a comedy about truth, justice and other special effects.",wag the dog,6.7,273.0,"['Drama', 'Comedy']",new line cinema tribeca productions baltimore pictures,"wag the dog comedy drama during the final weeks of a presidential race, the president is accused of sexual misconduct. to distract the public until the election, the president's adviser hires a hollywood producer to help him stage a fake war. a comedy about truth, justice and other special effects. new line cinema tribeca productions baltimore pictures"
action thriller science fiction adventure,95,armageddon,"when an asteroid threatens to collide with earth, nasa honcho dan truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. this leads him to renowned driller harry stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. among them is the cocksure a.j. who harry thinks isn't good enough for his daughter, until the mission proves otherwise.",13.235112,/eTM3qtGhDU8cvjpoa6KEt5E2auU.jpg,"[{'name': 'Jerry Bruckheimer Films', 'id': 130}, {'name': 'Touchstone Pictures', 'id': 9195}, {'name': 'Valhalla Motion Pictures', 'id': 11533}]",1998-07-01,the earth's darkest day will be man's finest hour,armageddon,6.5,2540.0,"['Thriller', 'Action', 'Science Fiction', 'Adventure']",jerry bruckheimer films touchstone pictures valhalla motion pictures,"armageddon action thriller science fiction adventure when an asteroid threatens to collide with earth, nasa honcho dan truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. this leads him to renowned driller harry stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. among them is the cocksure a.j. who harry thinks isn't good enough for his daughter, until the mission proves otherwise. the earth's darkest day will be man's finest hour jerry bruckheimer films touchstone pictures valhalla motion pictures"
drama,380,rain man,selfish yuppie charlie babbitt's father left a fortune to his savant brother raymond and a pittance to charlie; they travel cross-country.,11.267467,/iTNHwO896WKkaoPtpMMS74d8VNi.jpg,"[{'name': 'United Artists', 'id': 60}, {'name': 'Star Partners II Ltd.', 'id': 206}]",1988-12-11,a journey through understanding and fellowship.,rain man,7.6,1762.0,['Drama'],united artists star partners ii ltd.,rain man drama selfish yuppie charlie babbitt's father left a fortune to his savant brother raymond and a pittance to charlie; they travel cross-country. a journey through understanding and fellowship. united artists star partners ii ltd.
mystery,466,klute,"this acclaimed thriller stars jane fonda as bree daniel, a new york city call girl who becomes enmeshed in an investigation into the disappearance of a business executive. detective john klute is hired to follow daniel, and eventually begins a romance with her, but it appears that he hasn't been the only person on her trail. when it becomes clear that daniel is being targeted, it's up to her and klute to figure out who is after her before it's too late.",9.328822,/tVyINAsNGSgD1OIstqwCcs7wyGH.jpg,"[{'name': 'Gus Productions', 'id': 6174}, {'name': 'Warner Bros.', 'id': 6194}]",1971-06-21,you'd never take her for a call girl. you'd never take him for a cop.,klute,6.5,88.0,['Mystery'],gus productions warner bros.,"klute mystery this acclaimed thriller stars jane fonda as bree daniel, a new york city call girl who becomes enmeshed in an investigation into the disappearance of a business executive. detective john klute is hired to follow daniel, and eventually begins a romance with her, but it appears that he hasn't been the only person on her trail. when it becomes clear that daniel is being targeted, it's up to her and klute to figure out who is after her before it's too late. you'd never take her for a call girl. you'd never take him for a cop. gus productions warner bros."
comedy drama,2108,the breakfast club,"five high school students, all different stereotypes, meet in detention, where they pour their hearts out to each other, and discover how they have a lot more in common than they thought.",12.627678,/wM9ErA8UVdcce5P4oefQinN8VVV.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Channel Productions', 'id': 8812}, {'name': 'A&M Films', 'id': 11043}]",1985-02-15,"they only met once, but it changed their lives forever.",the breakfast club,7.8,2189.0,"['Drama', 'Comedy']",universal pictures channel productions a&m films,"the breakfast club comedy drama five high school students, all different stereotypes, meet in detention, where they pour their hearts out to each other, and discover how they have a lot more in common than they thought. they only met once, but it changed their lives forever. universal pictures channel productions a&m films"
drama science fiction,19,metropolis,"in a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",14.487867,/vZIJxGnjcswPCAa52jhbl01FQkV.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Universum Film (UFA)', 'id': 12372}]",1927-01-10,there can be no understanding between the hands and the brain unless the heart acts as mediator.,metropolis,8.0,666.0,"['Drama', 'Science Fiction']",paramount pictures universum film (ufa),"metropolis drama science fiction in a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences. there can be no understanding between the hands and the brain unless the heart acts as mediator. paramount pictures universum film (ufa)"
adventure comedy family science fiction,165,back to the future part ii,"marty and doc are at it again in this wacky sequel to the 1985 blockbuster as the time-traveling duo head to 2015 to nip some mcfly family woes in the bud. but things go awry thanks to bully biff tannen and a pesky sports almanac. in a last-ditch attempt to set things straight, marty finds himself bound for 1955 and face to face with his teenage parents -- again.",13.689855,/YBawEsTkUZBDajKbd5LiHkmMGf.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'U-Drive Productions', 'id': 20448}]",1989-11-20,"roads? where we're going, we don't need roads!",back to the future part ii,7.4,3926.0,"['Comedy', 'Family', 'Science Fiction', 'Adventure']",universal pictures amblin entertainment u-drive productions,"back to the future part ii adventure comedy family science fiction marty and doc are at it again in this wacky sequel to the 1985 blockbuster as the time-traveling duo head to 2015 to nip some mcfly family woes in the bud. but things go awry thanks to bully biff tannen and a pesky sports almanac. in a last-ditch attempt to set things straight, marty finds himself bound for 1955 and face to face with his teenage parents -- again. roads? where we're going, we don't need roads! universal pictures amblin entertainment u-drive productions"
adventure comedy family science fiction,196,back to the future part iii,"the final installment of the back to the future trilogy finds marty digging the trusty delorean out of a mineshaft and looking up doc in the wild west of 1885. but when their time machine breaks down, the travelers are stranded in a land of spurs. more problems arise when doc falls for pretty schoolteacher clara clayton, and marty tangles with buford tannen.",13.043999,/crzoVQnMzIrRfHtQw0tLBirNfVg.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'U-Drive Productions', 'id': 20448}]",1990-05-25,they've saved the best trip for last... but this time they may have gone too far.,back to the future part iii,7.1,2978.0,"['Comedy', 'Family', 'Science Fiction', 'Adventure']",universal pictures amblin entertainment u-drive productions,"back to the future part iii adventure comedy family science fiction the final installment of the back to the future trilogy finds marty digging the trusty delorean out of a mineshaft and looking up doc in the wild west of 1885. but when their time machine breaks down, the travelers are stranded in a land of spurs. more problems arise when doc falls for pretty schoolteacher clara clayton, and marty tangles with buford tannen. they've saved the best trip for last... but this time they may have gone too far. universal pictures amblin entertainment u-drive productions"
action adventure,551,the poseidon adventure,the poseidon adventure was one of the first catastrophe films and began the disaster film genre. director neame tells the story of a group of people that must fight for their lives aboard a sinking ship. based on the novel by paul gallico.,10.341849,/6RGiA5BfhelU9zoD0b1GAG4GWWf.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Kent Productions', 'id': 10281}]",1972-12-01,who will survive-in one of the greatest escape adventures ever!,the poseidon adventure,7.3,274.0,"['Action', 'Adventure']",twentieth century fox film corporation kent productions,the poseidon adventure action adventure the poseidon adventure was one of the first catastrophe films and began the disaster film genre. director neame tells the story of a group of people that must fight for their lives aboard a sinking ship. based on the novel by paul gallico. who will survive-in one of the greatest escape adventures ever! twentieth century fox film corporation kent productions
horror drama mystery,805,rosemary's baby,a young couple moves into an infamous new york apartment building to start a family. things become frightening as rosemary begins to suspect her unborn baby isn't safe around their strange neighbors.,11.504558,/uYgvlHceRFjAFbsNeMInYcLZLUb.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'William Castle Productions', 'id': 10324}]",1968-06-12,pray for rosemary's baby,rosemary's baby,7.5,892.0,"['Drama', 'Horror', 'Mystery']",paramount pictures william castle productions,rosemary's baby horror drama mystery a young couple moves into an infamous new york apartment building to start a family. things become frightening as rosemary begins to suspect her unborn baby isn't safe around their strange neighbors. pray for rosemary's baby paramount pictures william castle productions
fantasy comedy,4011,beetlejuice,"thanks to an untimely demise via drowning, a young couple end up as poltergeists in their new england farmhouse, where they fail to meet the challenge of scaring away the insufferable new owners, who want to make drastic changes. in desperation, the undead newlyweds turn to an expert frightmeister, but he's got a diabolical agenda of his own.",10.627364,/nnl6OWkyPpuMm595hmAxNW3rZFn.jpg,"[{'name': 'Geffen Company, The', 'id': 4354}, {'name': 'Warner Bros.', 'id': 6194}]",1988-02-29,he's guaranteed to put some life in your afterlife.,beetlejuice,7.1,1475.0,"['Comedy', 'Fantasy']","geffen company, the warner bros.","beetlejuice fantasy comedy thanks to an untimely demise via drowning, a young couple end up as poltergeists in their new england farmhouse, where they fail to meet the challenge of scaring away the insufferable new owners, who want to make drastic changes. in desperation, the undead newlyweds turn to an expert frightmeister, but he's got a diabolical agenda of his own. he's guaranteed to put some life in your afterlife. geffen company, the warner bros."
crime drama mystery thriller,1580,rope,"two young men strangle their ""inferior"" classmate, hide his body in their apartment, and invite his friends and family to a dinner party as a means to challenge the ""perfection"" of their crime.",7.248676,/9ar6rxLDB8kagAnXZKn6h9smscr.jpg,"[{'name': 'Transatlantic Pictures', 'id': 1554}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",1948-08-23,,rope,7.8,539.0,"['Thriller', 'Drama', 'Crime', 'Mystery']",transatlantic pictures warner bros. metro-goldwyn-mayer (mgm),"rope crime drama mystery thriller two young men strangle their ""inferior"" classmate, hide his body in their apartment, and invite his friends and family to a dinner party as a means to challenge the ""perfection"" of their crime.  transatlantic pictures warner bros. metro-goldwyn-mayer (mgm)"
drama crime,2762,young and innocent,"derrick de marney finds himself in a 39 steps situation when he is wrongly accused of murder. while a fugitive from the law, de marney is helped by heroine nova pilbeam, who three years earlier had played the adolescent kidnap victim in hitchcock's the man who knew too much. the obligatory ""fish out of water"" scene, in which the principals are briefly slowed down by a banal everyday event, occurs during a child's birthday party. the actual villain, whose identity is never in doubt (hitchcock made thrillers, not mysteries) is played by george curzon, who suffers from a twitching eye. curzon's revelation during an elaborate nightclub sequence is a hitchcockian tour de force, the sort of virtuoso sequence taken for granted in these days of flexible cameras and computer enhancement, but which in 1937 took a great deal of time, patience and talent to pull off. released in the us as the girl was young, young and innocent was based on a novel by josephine tey.",3.824884,/knc0wcxarPM6Qy3uOm1RV38JGzS.jpg,"[{'name': 'Gaumont British Picture Corporation', 'id': 4978}]",1937-11-01,a brilliant melodrama,young and innocent,6.8,42.0,"['Drama', 'Crime']",gaumont british picture corporation,"young and innocent drama crime derrick de marney finds himself in a 39 steps situation when he is wrongly accused of murder. while a fugitive from the law, de marney is helped by heroine nova pilbeam, who three years earlier had played the adolescent kidnap victim in hitchcock's the man who knew too much. the obligatory ""fish out of water"" scene, in which the principals are briefly slowed down by a banal everyday event, occurs during a child's birthday party. the actual villain, whose identity is never in doubt (hitchcock made thrillers, not mysteries) is played by george curzon, who suffers from a twitching eye. curzon's revelation during an elaborate nightclub sequence is a hitchcockian tour de force, the sort of virtuoso sequence taken for granted in these days of flexible cameras and computer enhancement, but which in 1937 took a great deal of time, patience and talent to pull off. released in the us as the girl was young, young and innocent was based on a novel by josephine tey. a brilliant melodrama gaumont british picture corporation"
thriller,2761,secret agent,"after three british agents are assigned to assassinate a mysterious german spy during world war i, two of them become ambivalent when their duty to the mission conflicts with their consciences.",4.119907,/vHfEuqttHs2fXLGgkSxC5nh7AHz.jpg,"[{'name': 'Gaumont British Picture Corporation', 'id': 4978}]",1936-06-12,,secret agent,6.7,36.0,['Thriller'],gaumont british picture corporation,"secret agent thriller after three british agents are assigned to assassinate a mysterious german spy during world war i, two of them become ambivalent when their duty to the mission conflicts with their consciences.  gaumont british picture corporation"
drama thriller crime,543,blackmail,"alice's boyfriend frank is a scotland yard detective who seems more interested in police work than in her. when she agrees to go out with another man, he attacks her and she defends herself and kills him. when the body is discovered, frank is assigned to the case. he quickly discovers that alice is the killer, but so has someone else, and they are threatening blackmail.",3.956703,/7ioNEKouUkkWyv5tUDwVUd7BDRR.jpg,"[{'name': 'British International Pictures (BIP)', 'id': 51816}]",1929-06-30,see and hear it - our mother tongue as it should be spoken,blackmail,6.8,45.0,"['Thriller', 'Drama', 'Crime']",british international pictures (bip),"blackmail drama thriller crime alice's boyfriend frank is a scotland yard detective who seems more interested in police work than in her. when she agrees to go out with another man, he attacks her and she defends herself and kills him. when the body is discovered, frank is assigned to the case. he quickly discovers that alice is the killer, but so has someone else, and they are threatening blackmail. see and hear it - our mother tongue as it should be spoken british international pictures (bip)"
thriller science fiction mystery,431,cube,seven strangers are taken out of their daily lives and placed mysteriously in a deadly cube where they all agree they must find their way out.,12.095263,/x4BTjxdrOKC27FcSkBh8KPEgnum.jpg,"[{'name': 'Téléfilm Canada', 'id': 806}, {'name': 'Feature Film Project', 'id': 21953}, {'name': 'Cube Libre', 'id': 22207}, {'name': 'Harold Greenberg Fund', 'id': 22208}, {'name': 'Odeon Films', 'id': 22209}, {'name': 'Ontario Film Development Corporation', 'id': 22210}, {'name': 'Viacom Canada', 'id': 22211}]",1997-09-09,don't look for a reason... look for a way out.,cube,6.9,1101.0,"['Thriller', 'Mystery', 'Science Fiction']",téléfilm canada feature film project cube libre harold greenberg fund odeon films ontario film development corporation viacom canada,cube thriller science fiction mystery seven strangers are taken out of their daily lives and placed mysteriously in a deadly cube where they all agree they must find their way out. don't look for a reason... look for a way out. téléfilm canada feature film project cube libre harold greenberg fund odeon films ontario film development corporation viacom canada
comedy crime romance,2321,married to the mob,"angela de marco is fed up with her gangster husband's line of work and wants no part of the crime world. when her husband is killed for having an affair with the mistress of mob boss tony ""the tiger"" russo, angela and her son depart for new york city to make a fresh start. unfortunately, tony has set his sights upon angela -- and so has an undercover fbi agent looking to use her to bust tony.",5.611184,/gkOsxv1RvV5smRnm6wrmn2wDXyZ.jpg,"[{'name': 'Orion Pictures', 'id': 41}, {'name': 'Mysterious Arts', 'id': 1072}, {'name': 'Orion Pictures Corporation', 'id': 14150}]",1988-08-19,they're her family... whether she likes it or not.,married to the mob,5.8,67.0,"['Comedy', 'Crime', 'Romance']",orion pictures mysterious arts orion pictures corporation,"married to the mob comedy crime romance angela de marco is fed up with her gangster husband's line of work and wants no part of the crime world. when her husband is killed for having an affair with the mistress of mob boss tony ""the tiger"" russo, angela and her son depart for new york city to make a fresh start. unfortunately, tony has set his sights upon angela -- and so has an undercover fbi agent looking to use her to bust tony. they're her family... whether she likes it or not. orion pictures mysterious arts orion pictures corporation"
comedy drama romance,2028,say anything...,"a budding romance between noble underachiever lloyd dobler and high school valedictorian diane court is threatened when diane's overly possessive, disapproving father interferes with their relationship. with a prized scholarship to study abroad hanging in the balance, diane must find a way to make both men happy.",6.953646,/nkucKciFGSRalw6dJtsglWqOXMC.jpg,"[{'name': 'Gracie Films', 'id': 18}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]",1989-04-14,to know lloyd dobler is to love him. diane court is about to know lloyd dobler.,say anything...,7.2,244.0,"['Drama', 'Comedy', 'Romance']",gracie films twentieth century fox film corporation,"say anything... comedy drama romance a budding romance between noble underachiever lloyd dobler and high school valedictorian diane court is threatened when diane's overly possessive, disapproving father interferes with their relationship. with a prized scholarship to study abroad hanging in the balance, diane must find a way to make both men happy. to know lloyd dobler is to love him. diane court is about to know lloyd dobler. gracie films twentieth century fox film corporation"
action comedy crime thriller,2109,rush hour,"when hong kong inspector lee is summoned to los angeles to investigate a kidnapping, the fbi doesn't want any outside help and assigns cocky lapd detective james carter to distract lee from the case. not content to watch the action from the sidelines, lee and carter form an unlikely partnership and investigate the case themselves.",11.840557,/we7wOLVFgxhzLzUt0qNe50xdIQZ.jpg,"[{'name': 'New Line Cinema', 'id': 12}]",1998-09-18,the fastest hands in the east meet the biggest mouth in the west.,rush hour,6.8,1254.0,"['Thriller', 'Comedy', 'Crime', 'Action']",new line cinema,"rush hour action comedy crime thriller when hong kong inspector lee is summoned to los angeles to investigate a kidnapping, the fbi doesn't want any outside help and assigns cocky lapd detective james carter to distract lee from the case. not content to watch the action from the sidelines, lee and carter form an unlikely partnership and investigate the case themselves. the fastest hands in the east meet the biggest mouth in the west. new line cinema"
fantasy drama romance,162,edward scissorhands,a small suburban town receives a visit from a castaway unfinished science experiment named edward.,17.612244,/e0FqKFvGPdQNWG8tF9cZBtev9Em.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]",1990-12-05,his scars run deep.,edward scissorhands,7.5,3731.0,"['Drama', 'Romance', 'Fantasy']",twentieth century fox film corporation,edward scissorhands fantasy drama romance a small suburban town receives a visit from a castaway unfinished science experiment named edward. his scars run deep. twentieth century fox film corporation
tv movie drama,4975,love is the devil: study for a portrait of francis bacon,"biography of the british painter francis bacon. the movie focuses on his relationship with george dyer, his lover. dyer was a former small time crook.",1.354102,/5zPTMTbYPhXXzAo5UQkeSpcmSMl.jpg,[],1998-09-16,,love is the devil: study for a portrait of francis bacon,6.7,19.0,"['Drama', 'TV Movie']",,"love is the devil: study for a portrait of francis bacon tv movie drama biography of the british painter francis bacon. the movie focuses on his relationship with george dyer, his lover. dyer was a former small time crook."
fantasy drama comedy,2657,pleasantville,"geeky teenager david and his popular twin sister, jennifer, get sucked into the black-and-white world of a 1950s tv sitcom called ""pleasantville,"" and find a world where everything is peachy keen all the time. but when jennifer's modern attitude disrupts pleasantville's peaceful but boring routine, she literally brings color into its life.",11.0874,/m1hhYP6OScjKU5Z9iZaWirSn4I6.jpg,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Larger Than Life Productions', 'id': 1163}]",1998-09-17,nothing is as simple as black and white.,pleasantville,7.1,498.0,"['Drama', 'Comedy', 'Fantasy']",new line cinema larger than life productions,"pleasantville fantasy drama comedy geeky teenager david and his popular twin sister, jennifer, get sucked into the black-and-white world of a 1950s tv sitcom called ""pleasantville,"" and find a world where everything is peachy keen all the time. but when jennifer's modern attitude disrupts pleasantville's peaceful but boring routine, she literally brings color into its life. nothing is as simple as black and white. new line cinema larger than life productions"
drama,3033,gods and monsters,"it's 1957, and whale's heyday as the director of ""frankenstein,"" ""bride of frankenstein"" and ""the invisible man"" is long behind him. retired and a semi-recluse, he lives his days accompanied only by images from his past. when his dour housekeeper, hannah, hires a handsome young gardener, the flamboyant director and simple yard man develop an unlikely friendship, which will change them forever.",6.788021,/awvJH3NtXoStsjAtXKr99hfuVaG.jpg,"[{'name': 'Lions Gate Films', 'id': 35}, {'name': 'Flashpoint (I)', 'id': 13495}, {'name': 'Showtime Networks', 'id': 18880}]",1998-01-21,,gods and monsters,6.8,82.0,['Drama'],lions gate films flashpoint (i) showtime networks,"gods and monsters drama it's 1957, and whale's heyday as the director of ""frankenstein,"" ""bride of frankenstein"" and ""the invisible man"" is long behind him. retired and a semi-recluse, he lives his days accompanied only by images from his past. when his dour housekeeper, hannah, hires a handsome young gardener, the flamboyant director and simple yard man develop an unlikely friendship, which will change them forever.  lions gate films flashpoint (i) showtime networks"
action adventure thriller war,1370,rambo iii,"combat has taken its toll on rambo, but he's finally begun to find inner peace in a monastery. when rambo's friend and mentor col. trautman asks for his help on a top secret mission to afghanistan, rambo declines but must reconsider when trautman is captured.",11.624866,/pTVm2HrqV5kOt8tG4ZURNuhrmAq.jpg,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Carolco Pictures', 'id': 14723}]",1988-05-24,the first was for himself. the second for his country. this time it's to save his friend.,rambo iii,5.7,703.0,"['Thriller', 'War', 'Action', 'Adventure']",tristar pictures carolco pictures,"rambo iii action adventure thriller war combat has taken its toll on rambo, but he's finally begun to find inner peace in a monastery. when rambo's friend and mentor col. trautman asks for his help on a top secret mission to afghanistan, rambo declines but must reconsider when trautman is captured. the first was for himself. the second for his country. this time it's to save his friend. tristar pictures carolco pictures"
drama,1371,rocky iii,"now the world champion, rocky balboa is living in luxury and only fighting opponents who pose no threat to him in the ring. his lifestyle of wealth and idleness is shaken when a powerful young fighter known as clubber lang challenges him to a bout. after taking a pounding from lang, the humbled champ turns to former bitter rival apollo creed to help him regain his form for a rematch with lang.",11.673366,/9jS3wG3cNSEu8sVUFAFQ8exyaaH.jpg,"[{'name': 'United Artists', 'id': 60}]",1982-05-28,the greatest challenge.,rocky iii,6.6,894.0,['Drama'],united artists,"rocky iii drama now the world champion, rocky balboa is living in luxury and only fighting opponents who pose no threat to him in the ring. his lifestyle of wealth and idleness is shaken when a powerful young fighter known as clubber lang challenges him to a bout. after taking a pounding from lang, the humbled champ turns to former bitter rival apollo creed to help him regain his form for a rematch with lang. the greatest challenge. united artists"
drama,1374,rocky iv,"rocky must come out of retirement to battle a gargantuan soviet fighter named drago, who brutally punished rocky's friend and former rival, apollo creed. seeking revenge in the name of his fallen comrade and his country, rocky agrees to fight drago in moscow on christmas, and the bout changes both fighters -- and the world.",10.25721,/2MHUit4H6OK5adcOjnCN6suCKOl.jpg,"[{'name': 'United Artists', 'id': 60}]",1985-11-21,he's facing the ultimate challenge. and fighting for his life.,rocky iv,6.6,984.0,['Drama'],united artists,"rocky iv drama rocky must come out of retirement to battle a gargantuan soviet fighter named drago, who brutally punished rocky's friend and former rival, apollo creed. seeking revenge in the name of his fallen comrade and his country, rocky agrees to fight drago in moscow on christmas, and the bout changes both fighters -- and the world. he's facing the ultimate challenge. and fighting for his life. united artists"
drama,1375,rocky v,"a lifetime of taking shots has ended rocky's career, and a crooked accountant has left him broke. inspired by the memory of his trainer, however, rocky finds glory in training and takes on an up-and-coming boxer.",14.007329,/tevHaVxtrMTaUi8f3YjLWYSSY8A.jpg,"[{'name': 'United Artists', 'id': 60}]",1990-10-18,go for it!,rocky v,5.3,688.0,['Drama'],united artists,"rocky v drama a lifetime of taking shots has ended rocky's career, and a crooked accountant has left him broke. inspired by the memory of his trainer, however, rocky finds glory in training and takes on an up-and-coming boxer. go for it! united artists"
romance comedy,1641,forces of nature,"ben holmes, a professional book-jacket blurbologist, is trying to get to savannah for his wedding. he just barely catches the last plane, but a seagull flies into the engine as the plane is taking off. all later flights are cancelled because of an approaching hurricane, so he is forced to hitch a ride in a geo metro with an attractive but eccentric woman named sara.",7.906035,/etmjiee84g6G9WALmLkJ1DhenAu.jpg,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Roth-Arnold Productions', 'id': 1560}]",1999-03-12,"he went from the eye of the storm, into the arms of a hurricane.",forces of nature,5.1,141.0,"['Comedy', 'Romance']",dreamworks skg roth-arnold productions,"forces of nature romance comedy ben holmes, a professional book-jacket blurbologist, is trying to get to savannah for his wedding. he just barely catches the last plane, but a seagull flies into the engine as the plane is taking off. all later flights are cancelled because of an approaching hurricane, so he is forced to hitch a ride in a geo metro with an attractive but eccentric woman named sara. he went from the eye of the storm, into the arms of a hurricane. dreamworks skg roth-arnold productions"
